-* Advance To Go || A || <html>[DESCRIPTION]<br/>[PLAYER_NAME] has advanced to go and collected 200 cat nip.</html> *-
-* Bank Error In Your Favor || B || <html>[DESCRIPTION]<br/>A bank error has occured in your favor! Collect 200 cat nip, [PLAYER_NAME].</html> *-
-* First Aid Fee || C || <html>[DESCRIPTION]<br/>Oh no! You have to pay a first aid fee! Pay the doctor 50 cat nip, [PLAYER_NAME].</html> *-
-* From Sale of Stock || D || <html>[DESCRIPTION]<br/>Gain 50 cat nip, [PLAYER_NAME].</html> *-
-* Get Out Of Jail Free Card || E || <html>[DESCRIPTION]<br/>[PLAYER_NAME] has received a get out of jail free card! WOO!</html> *-
-* Go To Jail || F || <html>[DESCRIPTION]<br/>Head right to jail!</html> *-
-* Grand Cat Opera || G || <html>[DESCRIPTION]<br/>Every player must purchase their tickets. Each player must pay [PLAYER_NAME] 50 cat nip.</html> *-
-* Kitten Sale || H || <html>[DESCRIPTION]<br/>Your cats have had kittens, auction them off! Receive 100 cat nip, [PLAYER_NAME].</html> *-
-* Income Tax Refund || I || <html>[DESCRIPTION]<br/>Income tax refund. Receive 20 cat nip, [PLAYER_NAME].</html> *-
-* You Have Cleaned Your Cat! || J || <html>[DESCRIPTION]<br/>Congratulations, [PLAYER_NAME]! Receive 10 cat nip from each player.</html> *-
-* Life Insurance Matures || K || <html>[DESCRIPTION]<br/>Your life insurance has matured. Receive 100 cat nip, [PLAYER_NAME].</html> *-
-* Pay Veterinary Fees || L || <html>[DESCRIPTION]<br/>Looks like some cat had an accident. Pay 100 cat nip, [PLAYER_NAME].</html> *-
-* Pay Trainer Fees || M || <html>[DESCRIPTION]<br/>Training is very important. Pay 150 cat nip, [PLAYER_NAME].</html> *-
-* Receives Consultancy Fee || N || <html>[DESCRIPTION]<br/>Receive 25 cat nip, [PLAYER_NAME].</html> *-
-* You Are Assessed For Cat Cleaning || O || <html>[DESCRIPTION]<br/>Cat cleaning time, [PLAYER_NAME]. 25 cat nip per cat house, 115 cat nip per cat hotel.</html> *-
-* You Have Won Second Prize In A Cat Contest || P || <html>[DESCRIPTION]<br/>Only second place? [PLAYER_NAME] receives 10 cat nip for trying.</html> *-
-* You Inherit Cat Nip || Q || <html>[DESCRIPTION]<br/>[PLAYER_NAME] inherits 100 cat nip.</html> *-
