-* Advance To Go || A || <html>[DESCRIPTION]<br/>[PLAYER_NAME] advances to go and collect 200 gold.</html>  *-
-* Advance To Chamber of Secrets|| B || <html>[DESCRIPTION]<br/>[PLAYER_NAME] goes straight to the Chamber of Secrets. Receive 200 gold if you pass go.</html> *-
-* Advance To Hogg's Head || C || <html>[DESCRIPTION]<br/>[PLAYER_NAME] goes straight to the Hogg's Head. Receive 200 gold if you pass go.</html> *-
-* Advance To Nearest Transportaion || D || <html>[DESCRIPTION]<br/>[PLAYER_NAME] goes straight to the nearest Transportation item. You may buy the property if unowned, else pay the owner 10x your roll.</html>  *-
-* Advance To Nearest School House || E || <html>[DESCRIPTION]<br/>[PLAYER_NAME] goes straight to the nearest School House.</html> *-
-* Bank Pays You Dividend || F || <html>[DESCRIPTION]<br/>[PLAYER_NAME] receives 50 gold from the bank.</html> *-
-* Get Out of Azkaban Free Card || G || <html>[DESCRIPTION]<br/>[PLAYER_NAME] receives the Elder Wand. You can now escape from jail.</html>  *-
-* Go Back 3 Spaces || H || <html>[DESCRIPTION]<br/>[PLAYER_NAME] must move back 3 spaces. Sorry!</html>  *-
-* Go To Azkaban || I || <html>[DESCRIPTION]<br/>[PLAYER_NAME] goes directly to Azkaban, no go gold.</html> *-
-* Gnome Infestation In Garden || J || <html>[DESCRIPTION]<br/>[PLAYER_NAME] must pay 25 gold per house, 100 gold for each hotel.</html> *-
-* Fail Exam || K || <html>[DESCRIPTION]<br/>[PLAYER_NAME] must pay 15 gold in order to retake test.</html> *-
-* Take A Trip To Hufflepuff House || L || <html>[DESCRIPTION]<br/>[PLAYER_NAME] receives 200 gold if they pass go.</html> *-
-* Take A Walk Through Hogwarts || M || <html>[DESCRIPTION]<br/>[PLAYER_NAME] takes a walk through Hogwarts, better hope no one owns the city!</html> *-
-* You Have Been Elected Class President || N || <html>[DESCRIPTION]<br/>[PLAYER_NAME] pays each player 50 gold.</html> *-
-* You Have Found One Of The Hollows || P || <html>[DESCRIPTION]<br/>[PLAYER_NAME] receives 150 gold.</html> *-
-* You Have Won A Flying Contest || Q || <html>[DESCRIPTION]<br/>[PLAYER_NAME] receives 100 gold.</html> *-
