-* Advance To Go || A || <html>[DESCRIPTION]<br/>[PLAYER_NAME] has advanced to go and collected 200 rupees.</html>  *-
-* Advance To Mirror Of Twilight || B || <html>[DESCRIPTION]<br/>[PLAYER_NAME] goes straight to the Mirror of Twilight. Receive 200 rupees if you pass go.</html> *-
-* Advance To Hyrule Field || C || <html>[DESCRIPTION]<br/>[PLAYER_NAME] goes straight to Hyrule Field. Receive 200 rupees if you pass go.</html> *-
-* Advance To Nearest Oocoo || D || <html>[DESCRIPTION]<br/>[PLAYER_NAME] goes straight to the nearest Oocoo. You may buy the Oocoo if unowned, else pay the owner 10x your roll.</html>  *-
-* Advance To Nearest Light Spirit || E || <html>[DESCRIPTION]<br/>[PLAYER_NAME] goes straight to the nearest Light Spirit.</html> *-
-* King Pays You Dividend || F || <html>[DESCRIPTION]<br/>[PLAYER_NAME] receives 50 rupees from the bank.</html> *-
-* Get Out of Jail Free Card || G || <html>[DESCRIPTION]<br/>[PLAYER_NAME] can now escape from jail.</html>  *-
-* Go Back 3 Spaces || H || <html>[DESCRIPTION]<br/>[PLAYER_NAME] must move back 3 spaces. Sorry!</html>  *-
-* Go To Jail || I || <html>[DESCRIPTION]<br/>[PLAYER_NAME] goes directly to jail, no go money.</html> *-
-* Make General Repairs On Your Properties || J || <html>[DESCRIPTION]<br/>[PLAYER_NAME] must pay 25 rupees per house, 100 rupees for each hotel.</html> *-
-* Pay Poor Tax || K || <html>[DESCRIPTION]<br/>[PLAYER_NAME] must pay 15 rupees tax.</html> *-
-* Take A Trip To Light Spirit Faron || L || <html>[DESCRIPTION]<br/>[PLAYER_NAME] receives 200 rupees if they pass go.</html> *-
-* Take A Walk Through Hyrule Castle || M || <html>[DESCRIPTION]<br/>[PLAYER_NAME] takes a walk through Hyrule Castle, better hope no one owns the castle!</html> *-
-* You Have Been Elected Hero of the Board || N || <html>[DESCRIPTION]<br/>[PLAYER_NAME] pays each player 50 rupees.</html> *-
-* Your Building Loan Matures || P || <html>[DESCRIPTION]<br/>[PLAYER_NAME] receives 150 rupees.</html> *-
-* You Have Won An Archery Competition || Q || <html>[DESCRIPTION]<br/>[PLAYER_NAME] receives 100 rupees.</html> *-
